Pessoas;iPhone;iPad;Livro Harry Potter;jogo MineCraft;Camisa do Corinthians;Bola de Futebol;Flauta Transversal;Lista Telefonica;Caixa de Fosforos;Calculadora;Detergente;Agenda;Cachorro;Pokemon;Alcool-Gel
Jogo;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1
Maria;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
Jose;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1
Paulo;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1
Pedro;0;0;1;0;1;1;0;1;1;1;0;0;0;0;1
Luisa;0;0;1;0;1;1;0;1;1;1;0;0;1;0;1
Marcelo;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1
Alfredo;0;1;1;0;1;1;1;0;0;1;0;0;1;1;1
Joaquim;1;0;1;0;1;1;1;1;1;1;0;0;0;1;1
Gabriela;0;1;1;1;1;1;0;1;1;0;0;0;1;0;1
Flavia;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1
Catapulto;0;1;0;0;1;1;1;1;1;0;0;0;1;0;1
Rodrigo;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1
Gabriel;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1
Rodolfo;1;0;1;0;1;1;1;1;0;0;0;1;0;1;1
Felipe;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1
Gisele;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1
Tatiana;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1
Ana;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
